Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2015,05,13,23.5,1,Y
IDCJAC0010,009225,2015,05,14,26.1,1,Y
IDCJAC0010,009225,2015,05,15,25.9,1,Y
IDCJAC0010,009225,2015,05,16,15.8,1,Y
IDCJAC0010,009225,2015,05,17,19.0,1,Y
IDCJAC0010,009225,2015,05,18,19.6,1,Y
IDCJAC0010,009225,2015,05,19,17.5,1,Y
IDCJAC0010,009225,2015,05,20,17.2,1,Y
IDCJAC0010,009225,2015,05,21,19.2,1,Y
IDCJAC0010,009225,2015,05,22,22.4,1,Y
IDCJAC0010,009225,2015,05,23,22.2,1,Y
IDCJAC0010,009225,2015,05,24,20.4,1,Y
IDCJAC0010,009225,2015,05,25,22.1,1,Y
IDCJAC0010,009225,2015,05,26,20.2,1,Y
IDCJAC0010,009225,2015,05,27,18.7,1,Y
IDCJAC0010,009225,2015,05,28,18.9,1,Y
IDCJAC0010,009225,2015,05,29,20.5,1,Y
IDCJAC0010,009225,2015,05,30,22.7,1,Y
IDCJAC0010,009225,2015,05,31,22.4,1,Y
IDCJAC0010,009225,2015,06,01,20.9,1,Y
IDCJAC0010,009225,2015,06,02,20.9,1,Y
IDCJAC0010,009225,2015,06,03,22.7,1,Y
IDCJAC0010,009225,2015,06,04,22.9,1,Y
IDCJAC0010,009225,2015,06,05,23.4,1,Y
IDCJAC0010,009225,2015,06,06,20.8,1,Y
IDCJAC0010,009225,2015,06,07,21.7,1,Y
IDCJAC0010,009225,2015,06,08,20.8,1,Y
IDCJAC0010,009225,2015,06,09,22.9,1,Y
IDCJAC0010,009225,2015,06,10,23.8,1,Y
IDCJAC0010,009225,2015,06,11,25.1,1,Y
IDCJAC0010,009225,2015,06,12,20.8,1,Y
IDCJAC0010,009225,2015,06,13,17.8,1,Y
IDCJAC0010,009225,2015,06,14,18.8,1,Y
IDCJAC0010,009225,2015,06,15,19.4,1,Y
IDCJAC0010,009225,2015,06,16,21.8,1,Y
IDCJAC0010,009225,2015,06,17,19.4,1,Y
IDCJAC0010,009225,2015,06,18,21.3,1,Y
IDCJAC0010,009225,2015,06,19,23.3,1,Y
IDCJAC0010,009225,2015,06,20,22.4,1,Y
IDCJAC0010,009225,2015,06,21,19.4,1,Y
IDCJAC0010,009225,2015,06,22,15.8,1,Y
IDCJAC0010,009225,2015,06,23,16.8,1,Y
IDCJAC0010,009225,2015,06,24,19.7,1,Y
IDCJAC0010,009225,2015,06,25,20.7,1,Y
IDCJAC0010,009225,2015,06,26,20.7,1,Y
IDCJAC0010,009225,2015,06,27,19.1,1,Y
IDCJAC0010,009225,2015,06,28,20.3,1,Y
IDCJAC0010,009225,2015,06,29,24.4,1,Y
IDCJAC0010,009225,2015,06,30,23.2,1,Y
IDCJAC0010,009225,2015,07,01,19.5,1,N
IDCJAC0010,009225,2015,07,02,21.0,1,N
IDCJAC0010,009225,2015,07,03,21.7,1,N
IDCJAC0010,009225,2015,07,04,21.0,1,N
IDCJAC0010,009225,2015,07,05,20.5,1,N
IDCJAC0010,009225,2015,07,06,20.0,1,N
IDCJAC0010,009225,2015,07,07,18.7,1,N
IDCJAC0010,009225,2015,07,08,15.0,1,N
IDCJAC0010,009225,2015,07,09,15.6,1,N
IDCJAC0010,009225,2015,07,10,17.2,1,N
IDCJAC0010,009225,2015,07,11,16.7,1,N
IDCJAC0010,009225,2015,07,12,17.1,1,N
IDCJAC0010,009225,2015,07,13,17.7,1,N
IDCJAC0010,009225,2015,07,14,18.4,1,N
IDCJAC0010,009225,2015,07,15,17.6,1,N
IDCJAC0010,009225,2015,07,16,19.0,1,N
IDCJAC0010,009225,2015,07,17,20.8,1,N
IDCJAC0010,009225,2015,07,18,20.5,1,N
IDCJAC0010,009225,2015,07,19,19.0,1,N
IDCJAC0010,009225,2015,07,20,19.8,1,N
IDCJAC0010,009225,2015,07,21,17.7,1,N
IDCJAC0010,009225,2015,07,22,18.3,1,N
IDCJAC0010,009225,2015,07,23,16.5,1,N
IDCJAC0010,009225,2015,07,24,18.0,1,N
IDCJAC0010,009225,2015,07,25,18.1,1,N
IDCJAC0010,009225,2015,07,26,18.2,1,N
IDCJAC0010,009225,2015,07,27,21.0,1,N
IDCJAC0010,009225,2015,07,28,15.2,1,N
IDCJAC0010,009225,2015,07,29,19.7,1,N
IDCJAC0010,009225,2015,07,30,20.0,1,N
IDCJAC0010,009225,2015,07,31,21.5,1,N
IDCJAC0010,009225,2015,08,01,18.1,1,N
IDCJAC0010,009225,2015,08,02,17.0,1,N
IDCJAC0010,009225,2015,08,03,18.3,1,N
IDCJAC0010,009225,2015,08,04,18.1,1,N
IDCJAC0010,009225,2015,08,05,18.3,1,N
IDCJAC0010,009225,2015,08,06,19.9,1,N
IDCJAC0010,009225,2015,08,07,18.3,1,N
IDCJAC0010,009225,2015,08,08,15.2,1,N
IDCJAC0010,009225,2015,08,09,15.5,1,N
