Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,009225,2015,06,17,14.5,1,Y
IDCJAC0011,009225,2015,06,18,13.2,1,Y
IDCJAC0011,009225,2015,06,19,14.9,1,Y
IDCJAC0011,009225,2015,06,20,15.8,1,Y
IDCJAC0011,009225,2015,06,21,14.2,1,Y
IDCJAC0011,009225,2015,06,22,10.0,1,Y
IDCJAC0011,009225,2015,06,23,2.3,1,Y
IDCJAC0011,009225,2015,06,24,4.2,1,Y
IDCJAC0011,009225,2015,06,25,4.5,1,Y
IDCJAC0011,009225,2015,06,26,6.8,1,Y
IDCJAC0011,009225,2015,06,27,7.6,1,Y
IDCJAC0011,009225,2015,06,28,8.5,1,Y
IDCJAC0011,009225,2015,06,29,6.8,1,Y
IDCJAC0011,009225,2015,06,30,6.4,1,Y
IDCJAC0011,009225,2015,07,01,10.6,1,N
IDCJAC0011,009225,2015,07,02,13.0,1,N
IDCJAC0011,009225,2015,07,03,11.6,1,N
IDCJAC0011,009225,2015,07,04,10.9,1,N
IDCJAC0011,009225,2015,07,05,10.7,1,N
IDCJAC0011,009225,2015,07,06,9.1,1,N
IDCJAC0011,009225,2015,07,07,11.2,1,N
IDCJAC0011,009225,2015,07,08,9.1,1,N
IDCJAC0011,009225,2015,07,09,0.8,1,N
IDCJAC0011,009225,2015,07,10,6.8,1,N
IDCJAC0011,009225,2015,07,11,2.6,1,N
IDCJAC0011,009225,2015,07,12,2.8,1,N
IDCJAC0011,009225,2015,07,13,5.4,1,N
IDCJAC0011,009225,2015,07,14,7.9,1,N
IDCJAC0011,009225,2015,07,15,8.2,1,N
IDCJAC0011,009225,2015,07,16,9.4,1,N
IDCJAC0011,009225,2015,07,17,11.7,1,N
IDCJAC0011,009225,2015,07,18,12.6,1,N
IDCJAC0011,009225,2015,07,19,13.1,1,N
IDCJAC0011,009225,2015,07,20,13.6,1,N
IDCJAC0011,009225,2015,07,21,8.9,1,N
IDCJAC0011,009225,2015,07,22,7.3,1,N
IDCJAC0011,009225,2015,07,23,10.3,1,N
IDCJAC0011,009225,2015,07,24,2.2,1,N
IDCJAC0011,009225,2015,07,25,8.4,1,N
IDCJAC0011,009225,2015,07,26,3.9,1,N
IDCJAC0011,009225,2015,07,27,7.1,1,N
IDCJAC0011,009225,2015,07,28,11.7,1,N
IDCJAC0011,009225,2015,07,29,9.7,1,N
IDCJAC0011,009225,2015,07,30,15.1,1,N
IDCJAC0011,009225,2015,07,31,15.8,1,N
IDCJAC0011,009225,2015,08,01,11.7,1,N
IDCJAC0011,009225,2015,08,02,6.0,1,N
IDCJAC0011,009225,2015,08,03,4.3,1,N
IDCJAC0011,009225,2015,08,04,8.2,1,N
IDCJAC0011,009225,2015,08,05,6.6,1,N
IDCJAC0011,009225,2015,08,06,9.6,1,N
IDCJAC0011,009225,2015,08,07,12.1,1,N
IDCJAC0011,009225,2015,08,08,8.4,1,N
IDCJAC0011,009225,2015,08,09,4.6,1,N
IDCJAC0011,009225,2015,08,10,8.0,1,N
IDCJAC0011,009225,2015,08,11,10.1,1,N
IDCJAC0011,009225,2015,08,12,5.5,1,N
IDCJAC0011,009225,2015,08,13,11.8,1,N
IDCJAC0011,009225,2015,08,14,6.1,1,N
IDCJAC0011,009225,2015,08,15,7.9,1,N
IDCJAC0011,009225,2015,08,16,9.1,1,N
IDCJAC0011,009225,2015,08,17,15.4,1,N
IDCJAC0011,009225,2015,08,18,12.2,1,N
IDCJAC0011,009225,2015,08,19,13.3,1,N
IDCJAC0011,009225,2015,08,20,11.5,1,N
IDCJAC0011,009225,2015,08,21,9.7,1,N
IDCJAC0011,009225,2015,08,22,4.3,1,N
IDCJAC0011,009225,2015,08,23,5.2,1,N
IDCJAC0011,009225,2015,08,24,8.7,1,N
IDCJAC0011,009225,2015,08,25,8.1,1,N
IDCJAC0011,009225,2015,08,26,7.9,1,N
IDCJAC0011,009225,2015,08,27,9.1,1,N
IDCJAC0011,009225,2015,08,28,11.7,1,N
IDCJAC0011,009225,2015,08,29,12.3,1,N
IDCJAC0011,009225,2015,08,30,13.8,1,N
IDCJAC0011,009225,2015,08,31,8.7,1,N
IDCJAC0011,009225,2015,09,01,7.2,1,Y
IDCJAC0011,009225,2015,09,02,2.8,1,Y
IDCJAC0011,009225,2015,09,03,8.4,1,Y
IDCJAC0011,009225,2015,09,04,4.7,1,Y
IDCJAC0011,009225,2015,09,05,13.0,1,Y
IDCJAC0011,009225,2015,09,06,5.1,1,Y
IDCJAC0011,009225,2015,09,07,5.6,1,Y
IDCJAC0011,009225,2015,09,08,8.1,1,Y
IDCJAC0011,009225,2015,09,09,7.7,1,Y
IDCJAC0011,009225,2015,09,10,15.6,1,Y
IDCJAC0011,009225,2015,09,11,10.4,1,Y
IDCJAC0011,009225,2015,09,12,13.5,1,Y
IDCJAC0011,009225,2015,09,13,6.2,1,Y
IDCJAC0011,009225,2015,09,14,9.5,1,Y
IDCJAC0011,009225,2015,09,15,9.0,1,Y
IDCJAC0011,009225,2015,09,16,4.9,1,Y
IDCJAC0011,009225,2015,09,17,7.0,1,Y
IDCJAC0011,009225,2015,09,18,7.3,1,Y
IDCJAC0011,009225,2015,09,19,12.8,1,Y
IDCJAC0011,009225,2015,09,20,7.5,1,Y
IDCJAC0011,009225,2015,09,21,9.5,1,Y
IDCJAC0011,009225,2015,09,22,10.9,1,Y
IDCJAC0011,009225,2015,09,23,10.5,1,Y
